caller,instruction,target,callee,resolution
CacheSizeCheck,0x414730,0x417778,_Z20MakeFreeSpaceOnCachem,symbol
CacheSizeCheck,0x41474c,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x4177b4,0x414698,_Z16FreeSpaceForFilePKc,symbol
MakeFreeSpaceOnCache,0x4177cc,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417824,0x4c8fb0,opendir,symbol
MakeFreeSpaceOnCache,0x417830,0x4c8da0,__errno,symbol
MakeFreeSpaceOnCache,0x417838,0x4cc8c8,strerror,symbol
MakeFreeSpaceOnCache,0x41784c,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417858,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417860,0x4c9018,readdir64,symbol
MakeFreeSpaceOnCache,0x417878,0x4c8290,strlen,symbol
MakeFreeSpaceOnCache,0x4178b0,0x491710,,address-only
MakeFreeSpaceOnCache,0x4178d0,0x4c7c70,memcpy,symbol
MakeFreeSpaceOnCache,0x4178e0,0x4b0948,,address-only
MakeFreeSpaceOnCache,0x417904,0x4b0948,,address-only
MakeFreeSpaceOnCache,0x41792c,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x41793c,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417940,0x4242d0,_ZN13CacheLocation8locationEv,symbol
MakeFreeSpaceOnCache,0x41794c,0x4b0368,,address-only
MakeFreeSpaceOnCache,0x4179d8,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x4179f4,0x4cc7c0,stat64,symbol
MakeFreeSpaceOnCache,0x417a18,0x417fc8,,address-only
MakeFreeSpaceOnCache,0x417a38,0x4c7bc0,memcmp,symbol
MakeFreeSpaceOnCache,0x417a5c,0x491710,,address-only
MakeFreeSpaceOnCache,0x417a6c,0x4b0368,,address-only
MakeFreeSpaceOnCache,0x417a9c,0x4180e0,,address-only
MakeFreeSpaceOnCache,0x417abc,0x4c90f0,closedir,symbol
MakeFreeSpaceOnCache,0x417ad8,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417ae4,0x4c8fb0,opendir,symbol
MakeFreeSpaceOnCache,0x417af4,0x4c9018,readdir64,symbol
MakeFreeSpaceOnCache,0x417b60,0x45af78,_ZN7android4base12StringPrintfEPKcz,symbol
MakeFreeSpaceOnCache,0x417b74,0x4c8fb0,opendir,symbol
MakeFreeSpaceOnCache,0x417b94,0x4cc8c8,strerror,symbol
MakeFreeSpaceOnCache,0x417ba8,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417bb4,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417bbc,0x4c9018,readdir64,symbol
MakeFreeSpaceOnCache,0x417bd0,0x412c28,,address-only
MakeFreeSpaceOnCache,0x417bf0,0x4ce4e8,__readlink_chk,symbol
MakeFreeSpaceOnCache,0x417c08,0x4c841c,strncmp,symbol
MakeFreeSpaceOnCache,0x417c1c,0x4c8290,strlen,symbol
MakeFreeSpaceOnCache,0x417c54,0x491710,,address-only
MakeFreeSpaceOnCache,0x417c74,0x4c7c70,memcpy,symbol
MakeFreeSpaceOnCache,0x417c84,0x418288,,address-only
MakeFreeSpaceOnCache,0x417d0c,0x418398,,address-only
MakeFreeSpaceOnCache,0x417d1c,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417d24,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417d38,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417d50,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417d64,0x4c90f0,closedir,symbol
MakeFreeSpaceOnCache,0x417d7c,0x4917f0,,address-only
MakeFreeSpaceOnCache,0x417db4,0x4c8da0,__errno,symbol
MakeFreeSpaceOnCache,0x417dcc,0x4cccf0,strtoumax,symbol
MakeFreeSpaceOnCache,0x417ddc,0x4c9018,readdir64,symbol
MakeFreeSpaceOnCache,0x417de8,0x4c90f0,closedir,symbol
MakeFreeSpaceOnCache,0x417e28,0x4c8da0,__errno,symbol
MakeFreeSpaceOnCache,0x417e30,0x4cc8c8,strerror,symbol
MakeFreeSpaceOnCache,0x417e40,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417e60,0x4187b8,,address-only
MakeFreeSpaceOnCache,0x417ea8,0x4cdc58,unlink,symbol
MakeFreeSpaceOnCache,0x417eb0,0x414698,_Z16FreeSpaceForFilePKc,symbol
MakeFreeSpaceOnCache,0x417ed8,0x4dd460,printf,symbol
MakeFreeSpaceOnCache,0x417f5c,0x4dd550,puts,symbol
MakeFreeSpaceOnCache,0x417f74,0x4187b8,,address-only
MakeFreeSpaceOnCache,0x417fb4,0x4b02a8,,address-only
MakeFreeSpaceOnCache,0x417fbc,0x4b02a8,,address-only
MakeFreeSpaceOnCache,0x417fc0,0x4d4440,__stack_chk_fail,symbol
PerformBlockImageUpdate,0x408f94,0x4c7df0,memset,symbol
PerformBlockImageUpdate,0x408f9c,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x408fbc,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x408fec,0x41dd90,_Z13ReadValueArgsP5StateRKNSt3__16vectorINS1_10unique_ptrI4ExprNS1_14default_deleteIS4_EEEENS1_9allocatorIS7_EEEEPNS2_INS3_I5ValueNS5_ISD_EEEENS8_ISF_EEEE,symbol
PerformBlockImageUpdate,0x40907c,0x41b498,_Z10ErrorAbortP5State9CauseCodePKcz,symbol
PerformBlockImageUpdate,0x409088,0x41b618,_Z11StringValuePKc,symbol
PerformBlockImageUpdate,0x4090cc,0x41b498,_Z10ErrorAbortP5State9CauseCodePKcz,symbol
PerformBlockImageUpdate,0x4090d8,0x41b618,_Z11StringValuePKc,symbol
PerformBlockImageUpdate,0x40910c,0x4917f0,,address-only
PerformBlockImageUpdate,0x409114,0x4917f0,,address-only
PerformBlockImageUpdate,0x409130,0x4917f0,,address-only
PerformBlockImageUpdate,0x409138,0x412388,_ZN17CommandParametersD2Ev,symbol
PerformBlockImageUpdate,0x40917c,0x422a98,_ZN9ZipStringC2EPKc,symbol
PerformBlockImageUpdate,0x40918c,0x421be8,_Z9FindEntryPvRK9ZipStringP8ZipEntry,symbol
PerformBlockImageUpdate,0x409194,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x4091a0,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x4091cc,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x4091d4,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x4091e0,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x4091f0,0x4017a0,,address-only
PerformBlockImageUpdate,0x409200,0x4017a0,,address-only
PerformBlockImageUpdate,0x40923c,0x422a98,_ZN9ZipStringC2EPKc,symbol
PerformBlockImageUpdate,0x40924c,0x421be8,_Z9FindEntryPvRK9ZipStringP8ZipEntry,symbol
PerformBlockImageUpdate,0x409254,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409260,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x40928c,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x409294,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x4092a0,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x4092b0,0x4017a0,,address-only
PerformBlockImageUpdate,0x4092c0,0x4017a0,,address-only
PerformBlockImageUpdate,0x4092e4,0x4017a0,,address-only
PerformBlockImageUpdate,0x4092f4,0x4017a0,,address-only
PerformBlockImageUpdate,0x4092fc,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x409340,0x426210,_Z8ota_openPKci,symbol
PerformBlockImageUpdate,0x409350,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x40936c,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x409398,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x4093a0,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x4093b0,0x4017a0,,address-only
PerformBlockImageUpdate,0x4093d8,0x4017a0,,address-only
PerformBlockImageUpdate,0x4093e0,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x409404,0x4c8eb8,close,symbol
PerformBlockImageUpdate,0x409410,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40941c,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x409448,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x409450,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x409460,0x4017a0,,address-only
PerformBlockImageUpdate,0x409484,0x4017a0,,address-only
PerformBlockImageUpdate,0x409494,0x4017a0,,address-only
PerformBlockImageUpdate,0x4094d0,0x45b358,_ZN7android4base8EndsWithERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPKc,symbol
PerformBlockImageUpdate,0x4094ec,0x463ce8,BrotliDecoderCreateInstance,symbol
PerformBlockImageUpdate,0x409508,0x4e0768,pthread_mutex_init,symbol
PerformBlockImageUpdate,0x409514,0x4df540,pthread_cond_init,symbol
PerformBlockImageUpdate,0x40951c,0x4df460,,address-only
PerformBlockImageUpdate,0x409528,0x4df4c8,,address-only
PerformBlockImageUpdate,0x409540,0x4dfa28,,address-only
PerformBlockImageUpdate,0x409548,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409554,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x409580,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x409588,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x409598,0x4017a0,,address-only
PerformBlockImageUpdate,0x4095a0,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x4095ac,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x4095d8,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x4095e0,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x4095f0,0x4017a0,,address-only
PerformBlockImageUpdate,0x4095f8,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x409628,0x45b028,_ZN7android4base5SplitERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_,symbol
PerformBlockImageUpdate,0x409638,0x4917f0,,address-only
PerformBlockImageUpdate,0x40966c,0x41b498,_Z10ErrorAbortP5State9CauseCodePKcz,symbol
PerformBlockImageUpdate,0x4096b0,0x4c8da0,__errno,symbol
PerformBlockImageUpdate,0x4096c8,0x4cca90,strtoll,symbol
PerformBlockImageUpdate,0x4096d4,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x4096e8,0x41b618,_Z11StringValuePKc,symbol
PerformBlockImageUpdate,0x409714,0x4917f0,,address-only
PerformBlockImageUpdate,0x409734,0x4917f0,,address-only
PerformBlockImageUpdate,0x409768,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x4097c4,0x4cccf0,strtoumax,symbol
PerformBlockImageUpdate,0x409858,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x4098b4,0x4cccf0,strtoumax,symbol
PerformBlockImageUpdate,0x40993c,0x45b820,SHA1,symbol
PerformBlockImageUpdate,0x409964,0x4b0a20,,address-only
PerformBlockImageUpdate,0x409978,0x4b0a20,,address-only
PerformBlockImageUpdate,0x4099bc,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x4099c4,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x4099d4,0x4017a0,,address-only
PerformBlockImageUpdate,0x4099f4,0x4017a0,,address-only
PerformBlockImageUpdate,0x409a04,0x4017a0,,address-only
PerformBlockImageUpdate,0x409a0c,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x409a30,0x4b07e0,,address-only
PerformBlockImageUpdate,0x409a68,0x410368,_ZL16GetStashFileNameRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEES7_S7_,symbol
PerformBlockImageUpdate,0x409a78,0x4917f0,,address-only
PerformBlockImageUpdate,0x409a88,0x4917f0,,address-only
PerformBlockImageUpdate,0x409aa8,0x4cc7c0,stat64,symbol
PerformBlockImageUpdate,0x409acc,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409aec,0x4cbf00,mkdir,symbol
PerformBlockImageUpdate,0x409b08,0x4cc8c8,strerror,symbol
PerformBlockImageUpdate,0x409b24,0x41b498,_Z10ErrorAbortP5State9CauseCodePKcz,symbol
PerformBlockImageUpdate,0x409b2c,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409b58,0x412a50,_ZL14EnumerateStashRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_8functionIFvS7_EEE,symbol
PerformBlockImageUpdate,0x409b9c,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x409ba4,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x409bb4,0x4017a0,,address-only
PerformBlockImageUpdate,0x409bbc,0x492908,,address-only
PerformBlockImageUpdate,0x409bc4,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x409bdc,0x4c8e90,chown,symbol
PerformBlockImageUpdate,0x409bf8,0x4cc8c8,strerror,symbol
PerformBlockImageUpdate,0x409c1c,0x4cc8c8,strerror,symbol
PerformBlockImageUpdate,0x409c38,0x41b498,_Z10ErrorAbortP5State9CauseCodePKcz,symbol
PerformBlockImageUpdate,0x409c78,0x412a50,_ZL14EnumerateStashRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_8functionIFvS7_EEE,symbol
PerformBlockImageUpdate,0x409cb4,0x414720,_Z14CacheSizeCheckm,symbol
PerformBlockImageUpdate,0x409cdc,0x414720,_Z14CacheSizeCheckm,symbol
PerformBlockImageUpdate,0x409cf8,0x41b498,_Z10ErrorAbortP5State9CauseCodePKcz,symbol
PerformBlockImageUpdate,0x409d0c,0x4917f0,,address-only
PerformBlockImageUpdate,0x409d1c,0x4242d0,_ZN13CacheLocation8locationEv,symbol
PerformBlockImageUpdate,0x409d2c,0x4b0368,,address-only
PerformBlockImageUpdate,0x409d48,0x4cc260,__open_2,symbol
PerformBlockImageUpdate,0x409d64,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409d9c,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x409da4,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x409dc0,0x4017a0,,address-only
PerformBlockImageUpdate,0x409de8,0x4598d8,_ZN7android4base14ReadFdToStringEiPNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,symbol
PerformBlockImageUpdate,0x409df8,0x45b1d0,_ZN7android4base4TrimERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,symbol
PerformBlockImageUpdate,0x409e18,0x45b028,_ZN7android4base5SplitERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_,symbol
PerformBlockImageUpdate,0x409e28,0x4917f0,,address-only
PerformBlockImageUpdate,0x409e38,0x4917f0,,address-only
PerformBlockImageUpdate,0x409e94,0x4cca90,strtoll,symbol
PerformBlockImageUpdate,0x409ea4,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409ed4,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x409edc,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x409eec,0x4017a0,,address-only
PerformBlockImageUpdate,0x409f0c,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409f48,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x409f80,0x4917f0,,address-only
PerformBlockImageUpdate,0x409fa0,0x4917f0,,address-only
PerformBlockImageUpdate,0x409fb0,0x4917f0,,address-only
PerformBlockImageUpdate,0x409fb8,0x4c8eb8,close,symbol
PerformBlockImageUpdate,0x409fc8,0x4917f0,,address-only
PerformBlockImageUpdate,0x409fd0,0x411d20,_ZL21DeleteLastCommandFilev,symbol
PerformBlockImageUpdate,0x40a00c,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x40a044,0x491710,,address-only
PerformBlockImageUpdate,0x40a068,0x4c7c70,memcpy,symbol
PerformBlockImageUpdate,0x40a078,0x410e48,,address-only
PerformBlockImageUpdate,0x40a08c,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a0a8,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x40a0e0,0x491710,,address-only
PerformBlockImageUpdate,0x40a104,0x4c7c70,memcpy,symbol
PerformBlockImageUpdate,0x40a114,0x411e48,,address-only
PerformBlockImageUpdate,0x40a128,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a1c0,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a1d4,0x4d4208,strdup,symbol
PerformBlockImageUpdate,0x40a1e8,0x491710,,address-only
PerformBlockImageUpdate,0x40a208,0x4c7c70,memcpy,symbol
PerformBlockImageUpdate,0x40a210,0x4242d0,_ZN13CacheLocation8locationEv,symbol
PerformBlockImageUpdate,0x40a21c,0x4b0368,,address-only
PerformBlockImageUpdate,0x40a230,0x412c28,,address-only
